iter	RMSE
518	0.6834803954
519	0.6826117977
520	0.6813024224
521	0.6801285529
522	0.6784192509
523	0.6771542168
524	0.6760938603
525	0.6752243019
526	0.6736378295
527	0.6725458656
528	0.6717993958
529	0.6704673024
530	0.6699516289
531	0.6692011033
532	0.6690520822
533	0.6674269124
534	0.6672524045
535	0.6671157205
536	0.6655470865
537	0.6639469303
538	0.6623174801
539	0.6615279406
540	0.6614544636
541	0.6605371983
542	0.6596725426
543	0.6594035053
544	0.6582920842
545	0.6570719622
546	0.655838775
547	0.6548070115
548	0.6536669633
549	0.6524122664
550	0.6511283138
551	0.6501311847
552	0.6489843176
553	0.6478112955
554	0.6476609769
555	0.6461468043
556	0.6455976446
557	0.644266108
558	0.6430787375
559	0.6419730099
560	0.6409109319
561	0.6400802665
562	0.6389011666
563	0.638855074
564	0.6379674827
565	0.6370980526
566	0.6365191986
567	0.6362956956
568	0.6345725362
569	0.6336711939
570	0.6329013228
571	0.6324998068
572	0.6316064956
573	0.6308016402
574	0.6296438562
575	0.628849549
576	0.6286902542
577	0.6276039214
578	0.6262106683
579	0.6249667244
580	0.6241587389
581	0.6240887395
582	0.6230730985
583	0.6220712564
584	0.6208894685
585	0.6197055001
586	0.6192915857
587	0.6191154337
588	0.6179880537
589	0.6171728608
590	0.6167068995
591	0.6165402014
592	0.615391492
593	0.6144131047
594	0.6134257436
595	0.6133621205
596	0.6127083197
597	0.6112569159
598	0.6111175881
599	0.6102964234
600	0.6094025173
601	0.6085705813
602	0.6076601761
603	0.6066475932
604	0.6062332091
605	0.6047131207
606	0.604088851
607	0.6032482313
608	0.6030995497
609	0.6030178468
610	0.60194029
611	0.601811726
612	0.6013850295
613	0.6009526808
614	0.5996130412
615	0.5994889289
616	0.599344863
617	0.598327947
618	0.5979122631
619	0.5969821068
620	0.5960398909
621	0.5953137242
622	0.5948631678
623	0.5938327415
624	0.5927291324
625	0.5916419962
626	0.5906904342
627	0.5892614995
628	0.5879759793
629	0.5873475141
630	0.5868432614
631	0.5860562856
632	0.5857491705
633	0.5845561845
634	0.5833572997
635	0.5825813781
636	0.5816861864
637	0.5803404648
638	0.5793845149
639	0.5784076008
640	0.5782844323
641	0.577565936
642	0.5768335426
643	0.5763593245
644	0.5762250772
645	0.5752777159
646	0.574563486
647	0.5738557205
648	0.5727264986
649	0.5724077168
650	0.5712842639
651	0.5701609397
652	0.5694622823
653	0.5691147159
654	0.5681195061
655	0.5672528634
656	0.5668312257
657	0.5662763122
658	0.5651676593
659	0.5642582293
660	0.5637754821
661	0.5633734323
662	0.5623494304
663	0.5616580705
664	0.5607407586
665	0.5604544171
666	0.5600435176
667	0.5590217463
668	0.5583082815
669	0.5581485134
670	0.5580604225
671	0.5569822101
672	0.555521009
673	0.5546830098
674	0.5545558925
675	0.5537831949
676	0.5528539265
677	0.5517609273
678	0.5509599973
679	0.5499822706
680	0.5498595958
681	0.549303118
682	0.5482100514
683	0.5479107608
684	0.5467109331
685	0.5464557475
686	0.5457908987
687	0.5457467692
688	0.5451993593
689	0.5445977488
690	0.5436720175
691	0.5426783926
692	0.5418078777
693	0.5413775932
694	0.5407565451
695	0.5398781183
696	0.539244323
697	0.5392029464
698	0.5383388334
699	0.5373359141
700	0.5371475405
701	0.5363471737
702	0.5355136664
703	0.5343994703
704	0.5336409437
705	0.5331254943
706	0.5326056401
707	0.5325669358
708	0.5323749074
709	0.5314178542
710	0.5305496849
711	0.5304590121
712	0.5297074759
713	0.5288500287
714	0.5280674773
715	0.5272105665
716	0.5269952238
717	0.5260994851
718	0.525337209
719	0.5250801486
720	0.5250459064
721	0.5245749217
722	0.5237386717
723	0.5236929047
724	0.5226856013
725	0.5220712896
726	0.5213288136
727	0.5207168034
728	0.5201463757
729	0.5198791338
730	0.5189762492
731	0.5183699974
732	0.5173616899
733	0.517070307
734	0.5162434674
735	0.5157709341
736	0.515727146
737	0.5156518402
738	0.5153681892
739	0.5143893329
740	0.5134345578
741	0.5133896223
742	0.5127791058
743	0.5119248368
744	0.5107461068
745	0.5102499284
746	0.5098457521
747	0.5093244168
748	0.508832134
749	0.5084153316
750	0.5083761426
751	0.5075289403
752	0.5068933266
753	0.5061551549
754	0.5055423127
755	0.5052865791
756	0.5046547782
757	0.5037888815
758	0.5030021871
759	0.5023284457
760	0.5015072889
761	0.5013278716
762	0.5006149621
763	0.4998173421
764	0.4992505096
765	0.498833974
766	0.4979441909
767	0.497254067
768	0.4965970556
769	0.4961570593
770	0.4952194932
771	0.4944741739
772	0.4940787787
773	0.4932309194
774	0.4924742903
775	0.4918446426
776	0.4912277122
777	0.4904995162
778	0.490397668
779	0.4900724875
780	0.4889887454
781	0.4886747081
782	0.4880602079
783	0.4880336788
784	0.4872292003
785	0.4866246898
786	0.486143977
787	0.4856671522
788	0.4848145232
789	0.4841116234
790	0.4835523042
791	0.4833151263
792	0.4832675517
793	0.4830201614
794	0.4829883976
795	0.4824155809
796	0.4816927534
797	0.4813912966
798	0.4811275521
799	0.4801550545
800	0.4794243537
801	0.478486787
802	0.4783946934
803	0.4783213397
804	0.4776715405
805	0.4771774475
806	0.4766867463
807	0.4759270261
808	0.4755794558
809	0.4749979058
810	0.4746282609
811	0.4740687868
812	0.4733108951
813	0.4725918704
814	0.471952758
815	0.4715111986
816	0.4707320245
817	0.4702090349
818	0.4694658066
819	0.4690699939
820	0.468621565
821	0.4684425727
822	0.4680292954
823	0.4677550537
824	0.4674570619
825	0.4669673925
826	0.4663995775
827	0.4658037024
828	0.4654894524
829	0.4650197893
830	0.4649387076
831	0.4641127358
832	0.4636426591
833	0.4630623687
834	0.4621723726
835	0.4614181631
836	0.4611977515
837	0.4604919697
838	0.4603572023
839	0.4595928628
840	0.459338737
841	0.459128165
842	0.4582223492
843	0.4577106763
844	0.4573922097
845	0.4571287335
846	0.4563250474
847	0.4557053118
848	0.4548374216
849	0.4542454901
850	0.4536209349
851	0.4527767673
852	0.4524156365
853	0.4522658603
854	0.4517640117
855	0.451068577
856	0.4507566968
857	0.4505903714
858	0.449782332
859	0.4490397497
860	0.448749087
861	0.4483288359
862	0.4478924538
863	0.4474567829
864	0.4466322385
865	0.4465554413
866	0.4458844674
867	0.4456467121
868	0.4453101996
869	0.4446104128
870	0.4438351897
871	0.4432724208
872	0.4427593093
873	0.4421522375
874	0.4413684932
875	0.4411757242
876	0.4404949252
877	0.4404528427
878	0.4398824719
879	0.4394101806
880	0.4391385136
881	0.4385638326
882	0.4379155535
883	0.4377057868
884	0.4371814257
885	0.4366715271
886	0.4362671571
887	0.435850187
888	0.4354692093
889	0.4348061333
890	0.434566212
891	0.4341138418
892	0.4332408491
893	0.4328201338
894	0.4325880892
895	0.4320438296
896	0.4314186054
897	0.4308583735
898	0.4302950985
899	0.4297136398
900	0.428900558
901	0.4281382142
902	0.4277081883
903	0.4270950843
904	0.4265359336
905	0.4260436472
906	0.4254837825
907	0.4247796205
908	0.4241512256
909	0.4239004305
910	0.4235026858
911	0.4230520883
912	0.4225071428
913	0.4221483174
914	0.4216339968
915	0.4212820576
916	0.4207205809
917	0.420029533
918	0.4192389686
919	0.4188834951
920	0.4187067533
921	0.4186444332
922	0.4186258346
923	0.4186002761
924	0.4182020724
925	0.4177873165
926	0.4173020459
927	0.4165668053
928	0.4159851985
929	0.4154308711
930	0.4153734706
931	0.4153169142
932	0.414739327
933	0.4142721981
934	0.4139489993
935	0.4133454438
936	0.4126131263
937	0.4120246608
938	0.4114685038
939	0.4114373637
940	0.4107606073
941	0.4104379508
942	0.4103949276
943	0.410179717
944	0.4096512651
945	0.4089270885
946	0.4082073536
947	0.4081557288
948	0.4075209545
949	0.4070805726
950	0.4061352882
951	0.4056169527
952	0.4051731041
953	0.4047968015
954	0.4047680119
955	0.4040337403
956	0.4038180518
957	0.4034128747
958	0.4032588787
959	0.4027469442
960	0.4022217104
961	0.4020409642
962	0.4015783012
963	0.4014488518
964	0.4012856422
965	0.4006984122
966	0.3999578149
967	0.3993469876
968	0.398874676
969	0.3983709476
970	0.3975568731
971	0.3968742986
972	0.3964444977
973	0.396143257
974	0.3956392846
975	0.3949960978
976	0.3944296882
977	0.3942621298
978	0.3935933922
979	0.3931063867
980	0.3926052168
981	0.392075568
982	0.3920309232
983	0.3917014215
984	0.391278778
985	0.390881778
986	0.390827226
987	0.3904649854
988	0.3900495101
989	0.3896884045
990	0.3890472076
991	0.3890293689
992	0.3885173229
993	0.388469975
994	0.3878822483
995	0.3878610652
996	0.3875831678
997	0.3872172472
998	0.3867533896
999	0.3863327331
